   22  271.8005 136.4978  11008     0  9033  1975
   23  271.7163 136.4984  11088    80  8980  2108
   24  271.7171 136.4977  11121    33  8907  2214
   25  271.8655 136.4655  11131    10  8910  2221
   26  271.7908 136.3702  11105    26  8969  2136
   27  271.7911 136.3703  11179    74  8942  2237
   28  271.8740 136.3355  11191    12  8913  2278
   29  272.0437 136.6781  11342   151  8846  2496
   30  272.0899 136.9034  11375    33  8950  2425
   31  272.0923 136.9036  11315    60  8996  2319
   32  272.0938 136.9027  11288    27  9015  2273
   33  272.3435 136.6568  11238    50  8870  2368
   34  272.3356 136.8740  11199    39  8679  2520
   35  272.4476 136.5993  11234    35  8496  2738
   36  272.5870 136.5554  11062   172  8378  2684
   37  272.7268 136.6551  11030    32  8310  2720
   38  272.8232 136.6043  10922   108  8243  2679
   39  272.9628 136.4004  10623   299  8168  2455
   40  273.1487 136.2965  10480   143  8128  2352
   41  273.1934 136.1940  10428    52  8100  2328
   42  273.2940 136.1475  10426     2  8077  2349
   43  273.1499 136.2916  10342    84  8077  2265
   44  273.1927 136.1891  10224   118  8019  2205
   45  273.2813 136.0357  10223     1  7981  2242
   46  273.2785 136.0358  10223     0  7995  2228
   47  273.2793 136.0362  10177    46  7998  2179
   48  273.3053 135.9341  10179     2  7935  2244
   49  273.2134 135.9655  10054   125  7954  2100
   50  273.1919 136.1865  10084    30  7905  2179
   51  273.3179 135.8259  10059    25  7914  2145
   52  273.4036 135.7444  10166   107  7920  2246
   53  273.4057 135.7411  10145    21  7865  2280
   54  273.3593 135.4681  10095    50  7805  2290
   55  273.5006 135.4994  10013    82  7882  2131
   56  273.4458 135.4149  10162   149  7770  2392
   57  273.3689 135.3645  10201    39  7778  2423
   58  273.3914 135.2565  10218    17  7815  2403
   59  273.3799 135.1559  10211     7  7788  2423
   60  273.5038 135.0025  10166    45  7855  2311
   61  273.5029 134.9994  10156    10  7840  2316
   62  273.5804 134.9336  10201    45  7849  2352
   63  273.6252 134.8467  10339   138  7846  2493
   64  273.6251 134.8439  10370    31  7849  2521
   65  273.6259 134.8403  10462    92  7871  2591
   66  273.5782 134.7536  10590   128  7886  2704
   67  273.5782 134.7527  10655    65  7856  2799
   68  273.5807 134.7551  10725    70  7827  2898
   69  273.6500 134.8182  10784    59  7835  2949
   70  273.6608 134.6260  10961   177  7864  3097
   71  273.5887 134.5517  11046    85  7875  3171
   72  273.6001 134.6557  11166   120  7924  3242
   73  273.5819 134.7545  11202    36  7901  3301
   74  273.6253 134.8402  11246    44  7901  3345
   75  273.6239 134.8412  11367   121  7938  3429
   76  273.5749 134.7590  11402    35  7944  3458
   77  273.5002 134.8116  11402     0  7938  3464
   78  273.4843 134.7084  11412    10  8025  3387
   79  273.4638 134.6444  11421     9  8039  3382
   80  273.3915 134.8544  11507    86  8048  3459
   81  273.2508 134.7854  11608   101  8056  3552
   82  273.1935 134.8827  11677    69  8108  3569
   83  273.0802 134.9245  11706    29  8123  3583
   84  272.9600 135.3903  11679    27  8160  3519
   85  273.0956 135.5244  11927   248  8260  3667
   86  272.8024 135.9317  11997    70  8353  3644
   87  272.9997 135.9981  12044    47  8430  3614
