  146  287.5006 51.7157   9133     0  6721  2412
  147  287.7468 51.6267   9282   149  6711  2571
  148  287.7749 51.5042   9314    32  6696  2618
  149  287.7865 51.6330   9323     9  6695  2628
  150  287.8842 51.7226   9281    42  6690  2591
  151  287.7746 51.5031   9250    31  6700  2550
  152  287.6456 51.5302   9207    43  6708  2499
  153  287.5998 51.6006   9158    49  6728  2430
  154  287.5006 51.7130   9143    15  6728  2415
  155  287.6669 51.7501   9057    86  6726  2331
  156  287.5008 51.5027   9035    22  6722  2313
  157  287.5000 51.5013   9083    48  6745  2338
  158  287.5006 51.7128   9118    35  6767  2351
  159  287.4995 51.5010   9103    15  6784  2319
  160  287.5999 51.4010   9395   292  6764  2631
  161  287.7133 51.4991   9462    67  6759  2703
  162  287.7142 51.5007   9383    79  6775  2608
  163  287.8473 51.4609   9576   193  6786  2790
  164  287.8202 51.1823   9660    84  6747  2913
  165  288.1191 51.4081   9834   174  6758  3076
  166  288.0537 51.1020   9964   130  6730  3234
  167  288.0018 51.0031  10061    97  6700  3361
  168  287.9990 50.9999  10190   129  6725  3465
  169  288.0905 51.0916  10186     4  6709  3477
  170  288.0013 51.0019  10248    62  6706  3542
  171  288.0023 51.0005  10337    89  6674  3663
  172  288.0022 51.0004  10293    44  6666  3627
  173  288.0024 50.9996  10248    45  6677  3571
  174  288.0013 50.9978  10333    85  6656  3677
  175  288.0016 50.9963  10365    32  6659  3706
  176  288.0043 50.9974  10319    46  6663  3656
  177  288.0048 50.9974  10228    91  6610  3618
  178  288.1603 50.8437  10110   118  6622  3488
  179  288.4971 50.7163   9948   162  6608  3340
  180  288.3983 50.6026   9967    19  6585  3382
  181  288.2129 50.6314  10020    53  6567  3453
  182  288.2516 50.7469  10053    33  6557  3496
  183  288.2527 50.7470  10058     5  6551  3507
  184  288.2525 50.7476  10005    53  6535  3470
  185  288.2532 50.7477   9984    21  6525  3459
  186  288.2544 50.7482   9941    43  6561  3380
  187  288.2540 50.7486   9897    44  6540  3357
  188  288.4992 50.7754   9796   101  6535  3261
  189  288.4999 50.5030   9697    99  6505  3192
  190  288.5003 50.5006   9583   114  6470  3113
  191  288.4995 50.5010   9464   119  6465  2999
  192  288.4997 50.5006   9333   131  6435  2898
  193  288.4986 50.4998   9390    57  6477  2913
