    0  411.8976 201.2787  14090     0 10470  3620
    1  411.8935 201.1812  14112    22 10467  3645
    2  411.9359 201.0685  13976   136 10424  3552
    3  411.9993 200.9995  13980     4 10422  3558
    4  412.1719 200.8951  13893    87 10368  3525
    5  412.1102 200.8179  13809    84 10359  3450
    6  412.0050 200.7709  13705   104 10391  3314
    7  412.2403 200.5843  13676    29 10372  3304
    8  412.2448 200.5834  13649    27 10385  3264
    9  412.1574 200.2648  13620    29 10457  3163
   10  412.5002 200.3110  13500   120 10540  2960
   11  412.5035 200.1732  13440    60 10556  2884
   12  412.5254 200.2644  13352    88 10468  2884
   13  412.7577 200.3226  13343     9 10430  2913
   14  412.6423 200.1654  13313    30 10358  2955
   15  412.7782 200.1517  13435   122 10334  3101
   16  412.7785 200.1504  13480    45 10306  3174
   17  412.9975 200.1375  13539    59 10228  3311
   18  413.0729 200.0649  13557    18 10152  3405
   19  413.1441 199.9986  13496    61 10085  3411
   20  413.1439 199.9968  13497     1 10072  3425
   21  413.2563 199.9602  13532    35 10108  3424
   22  413.4659 199.9254  13518    14 10143  3375
   23  413.5890 199.9289  13305   213 10293  3012
   24  413.8260 199.8953  13406   101 10307  3099
   25  413.8277 199.8949  13407     1 10316  3091
   26  413.8972 199.8194  13458    51 10413  3045
   27  414.0044 199.7766  13356   102 10373  2983
   28  414.2031 199.8732  13399    43 10385  3014
   29  414.3918 199.7747  13372    27 10345  3027
   30  414.3937 199.7750  13373     1 10351  3022
   31  414.5216 199.5970  13366     7 10416  2950
   32  414.7377 199.4083  13429    63 10576  2853
   33  414.7400 199.4077  13440    11 10603  2837
   34  414.7697 199.3097  13386    54 10575  2811
   35  414.7645 199.2060  13299    87 10535  2764
   36  414.7660 199.2039  13320    21 10540  2780
   37  414.8921 199.2978  13326     6 10502  2824
   38  415.0021 199.3226  13338    12 10457  2881
   39  415.2341 199.2020  13246    92 10411  2835
   40  415.1244 199.1677  13223    23 10361  2862
   41  415.2369 199.1991  13219     4 10323  2896
   42  415.4327 199.0837  13193    26 10334  2859
   43  415.4331 199.0834  13159    34 10280  2879
   44  415.4918 199.0044  13102    57 10303  2799
   45  415.4968 198.9999  13114    12 10321  2793
   46  415.4989 199.0028  13082    32 10340  2742
   47  415.5036 199.0017  12877   205 10341  2536
   48  415.5034 199.0039  12811    66 10321  2490
   49  415.5022 199.0038  12739    72 10171  2568
   50  415.7796 199.0886  12566   173 10095  2471
   51  415.7226 199.1811  12517    49 10069  2448
   52  415.7770 199.0886  12420    97 10008  2412
   53  415.7221 199.1825  12466    46  9950  2516
   54  415.5997 199.0462  12433    33  9877  2556
   55  415.7241 199.1860  12427     6  9855  2572
   56  415.7375 199.4324  12270   157  9807  2463
   57  415.7582 199.6341  12270     0  9762  2508
   58  415.8704 199.6638  12192    78  9695  2497
   59  415.7584 199.6371  12231    39  9663  2568
   60  415.8721 199.6656  12177    54  9611  2566
   61  415.8754 199.6674  12202    25  9542  2660
   62  415.9595 199.6032  12197     5  9461  2736
   63  415.9124 199.9033  12082   115  9400  2682
   64  415.9999 199.7092  12027    55  9423  2604
   65  416.0778 199.7984  12033     6  9497  2536
   66  416.0788 199.7980  12016    17  9508  2508
   67  416.0777 199.7986  11983    33  9502  2481
   68  416.0768 199.7997  11900    83  9490  2410
   69  415.9618 199.6050  11811    89  9521  2290
   70  416.1095 199.5225  11801    10  9534  2267
   71  416.1893 199.8035  11817    16  9605  2212
   72  416.2905 199.7745  11889    72  9588  2301
   73  416.2911 199.7774  11855    34  9642  2213
   74  416.0754 199.6193  11910    55  9661  2249
   75  416.2680 199.5895  11964    54  9649  2315
   76  416.2087 199.5064  12014    50  9640  2374
   77  415.9646 199.6314  11976    38  9643  2333
   78  415.7925 199.5037  11970     6  9688  2282
   79  415.7904 199.5027  12029    59  9670  2359
   80  415.7878 199.4977  12127    98  9711  2416
   81  415.6400 199.3672  12195    68  9773  2422
   82  415.6378 199.3652  12274    79  9810  2464
   83  415.6385 199.3647  12400   126  9819  2581
   84  415.6374 199.3636  12486    86  9912  2574
   85  415.5553 199.4141  12503    17  9898  2605
   86  415.5551 199.4117  12592    89  9858  2734
   87  415.5826 199.2529  12689    97  9859  2830
   88  415.5821 199.2509  12663    26  9892  2771
   89  415.6854 199.2411  12737    74  9931  2806
   90  415.7761 199.0910  12835    98  9947  2888
   91  415.6660 199.1923  12873    38  9934  2939
   92  415.6990 198.9982  12922    49  9912  3010
   93  415.6987 198.9987  13021    99  9937  3084
   94  415.6653 199.1926  13019     2  9932  3087
   95  415.5864 199.1335  13074    55  9920  3154
   96  415.5002 199.2092  13062    12  9950  3112
   97  415.4988 199.2092  13133    71  9931  3202
   98  415.4966 199.2121  13147    14  9884  3263
   99  415.4970 199.2134  13151     4  9890  3261
  100  415.5881 199.2580  13160     9  9924  3236
  101  415.4569 199.3738  13265   105  9864  3401
  102  415.2739 199.4975  13316    51  9830  3486
  103  415.2744 199.4943  13350    34  9868  3482
  104  415.2747 199.4942  13321    29  9848  3473
  105  415.2740 199.4957  13429   108  9848  3581
  106  415.4974 199.4967  13406    23  9907  3499
  107  415.4190 199.4215  13278   128  9878  3400
  108  415.3126 199.8086  13498   220  9970  3528
  109  415.3847 199.9202  13492     6  9928  3564
  110  415.6655 199.6666  13565    73  9983  3582
  111  415.6002 199.8000  13602    37  9968  3634
  112  416.0000 200.0000  13590    12  9964  3626
