  100  261.7996 391.4992  17233     0 10062  7171
  101  261.9079 391.6362  17486   253 10207  7279
  102  261.5337 391.6658  17773   287 10316  7457
  103  261.5013 392.0000  18074   301 10391  7683
  104  261.3762 392.4378  18254   180 10128  8126
  105  261.2684 392.3341  18484   230 10287  8197
  106  261.3574 392.2149  18605   121 10357  8248
  107  261.3126 392.1879  18731   126 10356  8375
  108  261.2673 392.3332  18778    47 10374  8404
  109  261.2861 392.5007  18748    30 10358  8390
  110  261.3886 392.7219  18886   138 10372  8514
  111  261.3741 392.7491  18830    56 10376  8454
  112  261.4003 392.6002  18657   173 10331  8326
  113  261.7486 392.7480  18748    91 10692  8056
  114  261.7260 392.4997  18758    10 10641  8117
  115  261.7491 392.2513  18749     9 10724  8025
  116  261.9075 392.0910  18706    43 10721  7985
  117  261.7896 391.9996  18532   174 10739  7793
  118  262.0001 392.0005  18323   209 10695  7628
  119  262.2784 392.1104  18160   163 10637  7523
  120  262.4123 392.1197  18054   106 10613  7441
  121  262.6319 392.2117  18079    25 10678  7401
  122  262.7515 392.2522  18171    92 10505  7666
  123  263.0003 392.7081  18378   207 10566  7812
  124  263.0010 393.0008  18601   223 10687  7914
  125  263.1976 393.0808  18796   195 10746  8050
  126  263.0708 393.1437  19136   340 10725  8411
  127  263.1651 393.2011  19245   109 10693  8552
  128  263.1291 393.2891  19288    43 10673  8615
  129  263.2564 393.3858  19285     3 10725  8560
  130  263.1565 393.3752  19261    24 10692  8569
  131  263.0975 393.4510  19348    87 10690  8658
  132  263.3995 393.2429  19336    12 10624  8712
  133  263.5582 393.2019  19345     9 10795  8550
  134  263.6087 393.2192  19177   168 10828  8349
  135  263.8808 393.4100  18965   212 10768  8197
  136  264.1158 393.4107  18834   131 10748  8086
  137  264.1176 393.4097  18641   193 10631  8010
  138  264.1104 393.2775  18625    16 10619  8006
  139  264.1581 393.1579  18623     2 10619  8004
  140  264.1578 393.1568  18693    70 10614  8079
  141  263.9570 392.9554  18809   116 10599  8210
  142  264.3020 392.7821  18852    43 10552  8300
  143  264.0911 392.9064  18911    59 10525  8386
  144  264.3299 392.8742  19032   121 10563  8469
  145  264.0009 393.0006  19110    78 10615  8495
  146  263.7629 393.0393  19117     7 10601  8516
  147  263.9989 393.0007  19200    83 10508  8692
  148  263.8843 393.0407  19263    63 10490  8773
  149  264.1700 393.1049  19199    64 10495  8704
  150  264.0712 393.0720  19190     9 10495  8695
  151  263.8860 393.0399  19021   169 10471  8550
  152  263.8030 393.1203  18921   100 10506  8415
  153  263.9063 393.1437  18736   185 10467  8269
  154  264.0604 393.3114  18478   258 10452  8026
  155  263.8327 393.0835  18205   273 10387  7818
  156  263.5004 392.9998  17836   369 10295  7541
