  150  222.0915 313.6372  16614     0 10684  5930
  151  222.1661 313.9993  16649    35 10708  5941
  152  222.0578 314.1774  16711    62 10695  6016
  153  221.8170 314.2739  16722    11 10689  6033
  154  221.9183 314.5600  16278   444 10656  5622
  155  221.9194 314.5635  16214    64 10855  5359
  156  221.9210 314.5659  16186    28 10976  5210
  157  222.0824 314.5641  16124    62 11007  5117
  158  222.2600 314.6669  16093    31 11017  5076
  159  222.4988 314.6022  16161    68 11110  5051
  160  222.5537 314.6921  16150    11 11570  4580
  161  222.8007 314.6721  16190    40 11560  4630
  162  222.9008 314.8033  16192     2 11644  4548
  163  222.9991 315.0006  16251    59 11593  4658
  164  223.1783 315.0288  16161    90 11590  4571
  165  223.1781 314.8226  16168     7 11567  4601
  166  223.2869 314.7135  16083    85 11550  4533
  167  223.3670 314.6387  15856   227 11486  4370
  168  223.5015 314.7861  15633   223 11232  4401
  169  223.5018 314.7843  15467   166 11177  4290
  170  223.4995 314.7880  15415    52 11124  4291
  171  223.4136 314.7235  15499    84 11114  4385
  172  223.4116 314.7243  15359   140 11094  4265
  173  223.4073 314.7270  15344    15 11129  4215
  174  223.1451 314.7062  15375    31 11078  4297
  175  223.1243 314.8325  15282    93 11123  4159
  176  223.2381 314.6187  15127   155 11261  3866
  177  223.2103 314.3719  15058    69 11108  3950
  178  223.1142 314.7207  14979    79 11396  3583
  179  223.3986 314.4012  14838   141 11064  3774
  180  223.5000 314.4994  14612   226 11102  3510
  181  223.5012 314.4988  14479   133 11144  3335
