    0  415.2557 184.2469  13342     0 11241  2101
    1  415.1676 184.1538  13333     9 11306  2027
    2  415.3941 184.0453  13473   140 11301  2172
    3  415.3926 184.0449  13448    25 11334  2114
    4  415.3933 184.0445  13417    31 11404  2013
    5  415.3964 184.0421  13384    33 11372  2012
    6  415.6003 184.0375  13244   140 11149  2095
    7  415.7800 184.0845  13145    99 11156  1989
    8  415.9047 184.0879  13090    55 11267  1823
    9  415.9054 184.0858  13122    32 11265  1857
   10  415.9056 183.9073  13158    36 11206  1952
   11  415.7832 183.9091  13151     7 11159  1992
   12  415.9043 183.9028  13092    59 11166  1926
   13  415.9049 183.9043  13131    39 11147  1984
   14  415.9935 183.9931  13178    47 11089  2089
   15  415.9930 183.9912  13195    17 11003  2192
   16  416.0406 183.8050  13243    48 11006  2237
   17  415.9990 183.5034  13401   158 10965  2436
   18  416.0410 183.5983  13490    89 10968  2522
   19  416.0417 183.5959  13610   120 10903  2707
   20  416.1115 183.4795  13676    66 10774  2902
   21  416.1556 183.5713  13814   138 10842  2972
   22  416.1242 183.4773  13860    46 10687  3173
   23  416.3438 183.3095  13937    77 10684  3253
   24  416.3463 183.3070  13939     2 10656  3283
   25  416.5345 183.3066  13849    90 10459  3390
   26  416.5358 183.3048  13816    33 10454  3362
   27  416.6348 183.2403  13804    12 10430  3374
   28  416.5008 183.0061  13829    25 10481  3348
   29  416.5033 183.0042  13769    60 10480  3289
   30  416.5033 183.0041  13828    59 10503  3325
   31  416.6002 183.0414  13769    59 10575  3194
   32  416.6697 183.1215  13717    52 10579  3138
   33  416.9059 183.0902  13694    23 10558  3136
   34  416.9084 183.0889  13562   132 10506  3056
   35  416.9110 183.0886  13558     4 10504  3054
   36  416.9109 183.0885  13571    13 10446  3125
   37  416.9110 183.0875  13524    47 10457  3067
   38  416.9996 182.9980  13541    17 10391  3150
   39  416.9117 183.0858  13618    77 10406  3212
   40  416.7880 183.0815  13609     9 10377  3232
   41  416.7881 183.0813  13558    51 10396  3162
   42  416.9115 183.0872  13465    93 10426  3039
   43  416.9996 183.0002  13413    52 10490  2923
   44  417.0000 182.9997  13428    15 10506  2922
   45  416.9996 182.9975  13388    40 10494  2894
   46  416.9998 182.9964  13323    65 10470  2853
   47  416.9993 182.9968  13336    13 10548  2788
   48  417.0005 182.9997  13236   100 10538  2698
   49  416.9978 183.0015  13090   146 10589  2501
   50  416.9975 183.0011  12950   140 10558  2392
   51  416.9979 183.0035  12926    24 10555  2371
   52  416.9983 183.0016  12902    24 10547  2355
   53  416.9980 183.0026  12819    83 10567  2252
   54  416.9958 183.0008  12821     2 10565  2256
   55  416.9960 183.0019  12780    41 10570  2210
   56  416.6740 183.1232  12791    11 10581  2210
   57  416.6725 183.1230  12621   170 10629  1992
   58  416.6764 183.1208  12664    43 10642  2022
   59  416.6788 183.1212  12657     7 10615  2042
   60  416.6775 183.1214  12731    74 10530  2201
   61  416.6766 183.1208  12823    92 10505  2318
   62  416.6786 183.1198  12848    25 10476  2372
   63  416.6754 183.1203  12969   121 10413  2556
   64  416.6000 182.9297  13012    43 10423  2589
   65  416.5097 182.9996  13108    96 10437  2671
   66  416.6137 182.8253  13169    61 10492  2677
   67  416.6143 182.8244  13227    58 10465  2762
   68  416.4956 182.8612  13382   155 10440  2942
   69  416.4954 182.8629  13392    10 10339  3053
   70  416.4791 182.9618  13338    54 10307  3031
   71  416.6195 182.8241  13133   205 10459  2674
   72  416.6678 182.7277  13092    41 10417  2675
   73  416.8694 182.7603  13192   100 10431  2761
   74  416.8766 182.7107  13266    74 10394  2872
   75  416.8779 182.7084  13300    34 10391  2909
   76  417.0372 182.6544  13331    31 10347  2984
   77  417.0385 182.6540  13397    66 10361  3036
   78  416.9740 182.7312  13372    25 10360  3012
   79  417.1058 182.5655  13350    22 10345  3005
   80  417.0705 182.4826  13319    31 10255  3064
   81  417.1594 182.4363  13274    45 10270  3004
   82  417.2578 182.3853  13340    66 10301  3039
   83  417.2863 182.1132  13232   108 10327  2905
   84  417.4536 182.2500  13187    45 10347  2840
   85  417.3079 182.0428  13205    18 10341  2864
   86  417.4070 182.0762  13210     5 10374  2836
   87  417.4096 182.0742  13195    15 10390  2805
   88  417.5981 182.0386  13001   194 10510  2491
   89  417.5980 182.0372  13024    23 10498  2526
   90  417.5007 181.9977  12927    97 10532  2395
   91  417.3220 181.9529  13137   210 10402  2735
   92  417.3247 181.9505  13040    97 10434  2606
