  135  80.3843 263.6168   9991     0  6675  3316
  136  80.3840 263.6158   9988     3  6684  3304
  137  80.4994 263.4992  10054    66  6713  3341
  138  80.1678 263.6104  10080    26  6661  3419
  139  79.9508 263.8976  10133    53  6659  3474
  140  80.0388 263.7629  10336   203  6682  3654
  141  79.7246 264.1020  10473   137  6660  3813
  142  79.6351 264.0985  10622   149  6692  3930
  143  79.5796 264.0313  10844   222  6685  4159
  144  79.7186 263.4900  10949   105  6702  4247
  145  79.6704 263.2785  11035    86  6652  4383
  146  79.7172 263.0324  11035     0  6624  4411
  147  79.7792 262.7829  11030     5  6569  4461
  148  79.6368 262.7974  11164   134  6579  4585
  149  79.5671 262.8534  11286   122  6566  4720
  150  79.5006 262.8040  11259    27  6561  4698
  151  79.4369 262.7492  11143   116  6415  4728
  152  79.4270 262.8525  11109    34  6398  4711
  153  79.3502 263.1154  11104     5  6407  4697
  154  79.3506 263.1165  11135    31  6376  4759
  155  79.4738 263.3115  11153    18  6371  4782
  156  79.4627 263.4156  11222    69  6371  4851
  157  79.4045 263.8331  11265    43  6351  4914
  158  79.3719 263.9306  11389   124  6350  5039
  159  79.4100 264.1556  11426    37  6371  5055
  160  79.4135 264.1549  11572   146  6330  5242
  161  79.4149 264.1551  11596    24  6317  5279
  162  79.6599 264.2074  11782   186  6468  5314
  163  79.7842 264.5867  11894   112  6444  5450
  164  79.8223 264.6745  11909    15  6434  5475
  165  79.8059 264.7716  11879    30  6439  5440
  166  79.8427 264.9859  11821    58  6441  5380
  167  79.7567 265.4412  11910    89  6448  5462
  168  79.7569 265.4422  11896    14  6449  5447
  169  79.7975 265.5173  11785   111  6451  5334
  170  79.8422 265.4397  11843    58  6480  5363
  171  80.1138 265.3966  11860    17  6463  5397
  172  80.1592 265.3173  11689   171  6453  5236
  173  80.3489 265.1041  11617    72  6463  5154
  174  80.5742 264.9790  11489   128  6565  4924
  175  80.6215 265.0554  11242   247  6532  4710
  176  80.7134 265.1748  11079   163  6535  4544
  177  80.9100 265.5671  10929   150  6541  4388
  178  80.9104 265.5680  10844    85  6564  4280
  179  80.8362 265.7519  10777    67  6572  4205
  180  80.9399 265.8570  10671   106  6541  4130
  181  80.9982 265.9998  10592    79  6561  4031
  182  81.0947 265.9991  10591     1  6568  4023
  183  81.4637 265.7011  10579    12  6542  4037
  184  81.5849 265.5192  10526    53  6621  3905
  185  81.7853 265.6056  10410   116  6598  3812
  186  81.9996 265.3998  10382    28  6606  3776
  187  82.3507 265.0002  10350    32  6670  3680
  188  82.7135 264.8095  10259    91  6705  3554
  189  82.9482 264.2111  10233    26  6707  3526
  190  83.2672 263.9326  10159    74  6685  3474
  191  83.4996 263.6663  10097    62  6676  3421
