  147  313.0844 19.1659  16122     0  9794  6328
  148  313.0847 18.8345  16104    18  9774  6330
  149  313.1541 19.0012  16159    55  9682  6477
  150  313.3102 19.0618  16291   132  9635  6656
  151  313.3306 18.5023  16389    98  9615  6774
  152  313.4248 18.6176  16547   158  9547  7000
  153  313.1844 18.3708  16787   240  9479  7308
  154  313.1849 18.3709  16851    64  9488  7363
  155  313.0966 18.0369  17028   177  9415  7613
  156  313.1160 18.0677  17216   188  9444  7772
  157  313.0905 17.9482  17267    51  9542  7725
  158  313.0278 18.2539  17341    74  9574  7767
  159  313.0800 18.3294  17459   118  9610  7849
  160  313.0794 18.1699  17558    99  9655  7903
  161  313.0816 18.1651  17651    93  9707  7944
  162  313.0819 18.1656  17646     5  9751  7895
  163  313.1070 17.9565  17658    12  9765  7893
  164  313.1312 17.8221  17748    90  9737  8011
  165  313.0274 17.7041  17724    24  9770  7954
  166  313.2149 17.4342  17896   172  9758  8138
  167  313.1621 17.6107  17746   150  9646  8100
  168  313.2054 17.5063  17706    40  9648  8058
  169  313.1738 17.7011  17755    49  9642  8113
  170  313.2203 17.7430  17669    86  9651  8018
  171  313.2508 17.3434  17862   193  9838  8024
  172  313.1064 17.7130  17585   277  9316  8269
  173  312.9628 17.9649  17529    56  9240  8289
  174  313.0035 17.8775  17482    47  9181  8301
  175  312.9611 17.9662  17408    74  9091  8317
  176  313.0478 18.0072  17239   169  8979  8260
  177  313.0054 18.0899  17147    92  8867  8280
  178  313.0052 18.0884  17176    29  8814  8362
  179  313.0657 18.0278  17016   160  8791  8225
  180  313.0665 18.0281  16949    67  8788  8161
  181  313.1711 18.0758  16953     4  8765  8188
  182  313.1760 18.1604  16864    89  8716  8148
  183  313.2004 18.2322  16652   212  8667  7985
  184  313.0713 18.2899  16479   173  8640  7839
  185  313.0759 18.5103  16171   308  8376  7795
  186  313.0732 18.5122  16211    40  8331  7880
  187  313.0042 18.5906  16094   117  8372  7722
  188  313.0799 18.4232  15957   137  8632  7325
  189  313.0570 18.4457  15798   159  8649  7149
  190  313.4559 17.8444  15693   105  8658  7035
  191  313.5394 17.6895  15360   333  8548  6812
  192  313.4233 17.6983  15315    45  8607  6708
  193  313.2907 17.8088  15138   177  8555  6583
  194  313.3442 17.6871  15052    86  8517  6535
  195  313.5925 17.4079  14880   172  8774  6106
  196  313.5173 17.4864  14650   230  8754  5896
  197  313.6668 17.5203  14476   174  8375  6101
  198  313.7586 17.5602  14365   111  8394  5971
  199  313.7196 17.2847  14320    45  8670  5650
  200  313.6661 17.5425  14169   151  8254  5915
  201  313.4566 17.6371  14092    77  8247  5845
  202  313.6005 17.6959  13907   185  8159  5748
  203  313.5005 17.7217  13708   199  8150  5558
  204  313.5012 17.5007  13604   104  8109  5495
  205  313.2373 17.8789  13686    82  8120  5566
  206  313.1144 17.8872  13639    47  8116  5523
  207  313.3756 17.4383  13530   109  8432  5098
  208  313.3742 17.4377  13496    34  8430  5066
  209  313.3833 17.4614  13442    54  8440  5002
  210  313.2496 17.5822  13343    99  8098  5245
  211  313.1823 17.4541  13276    67  8522  4754
  212  313.0018 17.4989  13128   148  8511  4617
  213  313.1816 17.4536  12947   181  8571  4376
  214  313.0010 17.4989  12813   134  8586  4227
  215  312.9178 17.6663  12785    28  8274  4511
  216  312.7710 17.7700  12613   172  8151  4462
