   25  315.9088 179.3622  12369     0  8401  3968
   26  315.7497 179.4168  12373     4  8408  3965
   27  315.6008 179.5988  12385    12  8371  4014
   28  315.6008 179.6000  12416    31  8373  4043
   29  315.9456 179.4748  12673   257  8336  4337
   30  315.9461 179.2130  12654    19  8318  4336
   31  316.1560 179.1601  12586    68  8331  4255
   32  316.2476 179.4576  12574    12  8306  4268
   33  316.1245 179.6649  12509    65  8256  4253
   34  316.2011 179.5609  12498    11  8224  4274
   35  316.2207 179.4850  12499     1  8198  4301
   36  316.0413 179.6033  12332   167  8177  4155
   37  316.1127 179.6953  12398    66  8183  4215
   38  315.9974 179.6850  12344    54  8215  4129
   39  316.0341 179.7809  12140   204  8148  3992
   40  315.8226 179.6150  12087    53  8206  3881
   41  315.9997 179.6803  12043    44  8220  3823
   42  316.2506 179.5820  12069    26  8153  3916
   43  316.2070 179.5035  11975    94  8064  3911
   44  316.1926 179.3399  12069    94  8044  4025
   45  316.2490 179.4219  12043    26  7997  4046
   46  316.2531 179.4213  12066    23  8026  4040
   47  316.3236 179.5020  11925   141  7986  3939
   48  316.2503 179.4224  12013    88  7999  4014
   49  316.4106 179.5500  11935    78  7925  4010
   50  316.3580 179.6348  11911    24  7934  3977
   51  316.3583 179.6364  11878    33  7920  3958
   52  316.2847 179.5515  11877     1  7944  3933
   53  316.1868 179.5362  11844    33  7901  3943
   54  316.0370 179.7129  11956   112  7941  4015
   55  316.4174 179.5813  11924    32  7961  3963
   56  316.4186 179.5816  11928     4  7949  3979
   57  316.4936 179.5113  11893    35  7987  3906
   58  316.4944 179.5102  11873    20  7924  3949
   59  316.4974 179.5055  11794    79  7912  3882
   60  316.6012 179.5190  11955   161  8003  3952
   61  316.6018 179.5142  11787   168  7981  3806
   62  316.6001 179.5156  11746    41  7998  3748
   63  316.7004 179.4971  11771    25  7971  3800
   64  316.7067 179.4934  11777     6  7947  3830
   65  316.7880 179.4517  11702    75  7925  3777
   66  316.8386 179.3739  11570   132  7939  3631
   67  316.9325 179.4185  11433   137  7870  3563
   68  316.8426 179.3740  11433     0  7877  3556
   69  316.9342 179.4152  11288   145  7887  3401
   70  317.0664 179.3068  11243    45  7898  3345
   71  317.0351 179.1111  11263    20  7886  3377
   72  317.0359 179.2125  11193    70  7842  3351
   73  317.0371 179.2306  11012   181  7832  3180
   74  317.2374 179.2040  10947    65  7842  3105
   75  317.3313 179.1289  10884    63  7835  3049
   76  317.5020 179.2937  10888     4  7893  2995
   77  317.5384 179.1577  10913    25  7901  3012
   78  317.6652 179.1907  10878    35  7836  3042
   79  317.7829 179.1812  11047   169  7826  3221
   80  317.8284 179.1066  11017    30  7856  3161
   81  317.8234 179.1014  11017     0  7859  3158
   82  317.8232 179.1016  11034    17  7859  3175
   83  317.8214 179.1017  10994    40  7893  3101
   84  317.8247 179.1014  11050    56  7904  3146
   85  317.8256 179.0976  11141    91  7929  3212
   86  317.8937 179.0312  11057    84  7898  3159
   87  317.7857 178.7887  11161   104  7938  3223
   88  317.7292 178.7047  11212    51  7943  3269
   89  317.5244 178.6923  11314   102  7946  3368
   90  317.4250 178.6546  11233    81  7953  3280
   91  317.5236 178.6897  11350   117  7978  3372
   92  317.5220 178.6918  11338    12  7984  3354
   93  317.5251 178.6926  11276    62  7997  3279
   94  317.8183 178.6812  11317    41  8012  3305
   95  317.7281 178.7032  11294    23  8021  3273
   96  317.7270 178.7026  11258    36  7988  3270
   97  317.3547 178.5885  11290    32  8036  3254
   98  317.6176 178.6742  11430   140  8042  3388
   99  317.6501 178.6050  11599   169  8075  3524
  100  317.6542 178.6064  11707   108  8093  3614
  101  317.6576 178.6026  11914   207  8095  3819
  102  317.6616 178.6018  11970    56  8098  3872
  103  317.6626 178.6011  12109   139  8155  3954
  104  317.6639 178.6012  12196    87  8117  4079
  105  317.9002 178.5091  12448   252  8045  4403
  106  317.8308 178.4488  12548   100  8121  4427
  107  317.8308 178.4500  12730   182  8171  4559
  108  317.8319 178.4491  12880   150  8183  4697
  109  317.8340 178.4501  12852    28  8210  4642
