    0  83.9983 118.0063   9922     0  7478  2444
    1  83.9987 118.0043   9866    56  7492  2374
    2  83.9992 118.0011   9883    17  7519  2364
    3  83.9988 118.0012   9796    87  7512  2284
    4  84.0012 118.0027   9780    16  7543  2237
    5  84.0024 118.0019   9734    46  7569  2165
    6  84.0048 117.9997   9648    86  7627  2021
    7  84.0055 117.9983   9607    41  7637  1970
    8  84.0050 117.9981   9516    91  7642  1874
    9  84.1403 117.9965   9551    35  7706  1845
   10  84.1938 117.9031   9462    89  7676  1786
   11  84.1431 117.9983   9458     4  7713  1745
   12  84.4989 117.7305   9436    22  7713  1723
   13  84.6075 117.7846   9530    94  7792  1738
   14  84.6096 117.7844   9483    47  7775  1708
   15  84.7272 117.8181   9407    76  7877  1530
   16  84.8561 117.8081   9396    11  7920  1476
   17  84.8549 117.8052   9390     6  7936  1454
   18  84.8967 117.6958   9326    64  7994  1332
   19  84.8974 117.6969   9273    53  8005  1268
   20  84.8920 117.5780   9251    22  8084  1167
   21  84.8946 117.5783   9265    14  8066  1199
   22  84.7814 117.5004   9200    65  8081  1119
   23  84.8841 117.4132   9298    98  8130  1168
   24  84.8846 117.4128   9326    28  8110  1216
   25  84.9987 117.4989   9357    31  8138  1219
   26  84.9991 117.5003   9247   110  8098  1149
   27  84.9988 117.4999   9339    92  8138  1201
   28  84.9997 117.4994   9326    13  8129  1197
   29  85.0455 117.1959   9269    57  8133  1136
   30  85.0461 117.1953   9169   100  8096  1073
   31  85.0482 117.1967   9212    43  8092  1120
   32  85.0999 117.3037   9216     4  8107  1109
   33  85.1005 117.3042   9185    31  8066  1119
   34  85.1027 117.3042   9197    12  8058  1139
   35  85.1039 117.3027   9244    47  8057  1187
   36  85.0929 117.0951   9262    18  8019  1243
   37  85.0930 117.0977   9203    59  7990  1213
   38  85.3295 117.1287   9308   105  7926  1382
   39  85.3293 117.1292   9253    55  7944  1309
   40  85.3293 117.1299   9212    41  7861  1351
   41  85.0946 117.0961   9171    41  7747  1424
   42  85.0525 117.1930   9141    30  7662  1479
   43  85.0960 117.0940   9061    80  7645  1416
   44  85.1053 117.2990   9021    40  7654  1367
   45  85.0068 117.2109   8934    87  7568  1366
   46  85.3685 117.2105   8914    20  7518  1396
   47  85.4431 117.1126   8939    25  7425  1514
   48  85.3536 117.0046   8905    34  7389  1516
   49  85.3161 117.1277   8849    56  7360  1489
   50  85.5001 117.2845   8774    75  7356  1418
   51  85.5875 117.1167   8785    11  7285  1500
   52  85.8381 117.1588   8806    21  7219  1587
   53  85.8370 117.1574   8809     3  7184  1625
   54  85.6210 117.2389   8869    60  7184  1685
   55  85.6204 117.2386   8889    20  7168  1721
   56  85.8058 117.1450   8882     7  7136  1746
   57  85.9924 117.0062   8863    19  7108  1755
   58  85.9948 117.0041   8842    21  7074  1768
   59  85.9965 117.0016   8836     6  7067  1769
   60  85.9090 116.9138   8826    10  7029  1797
   61  85.9099 116.9112   8846    20  7003  1843
   62  85.9098 116.9085   8842     4  7047  1795
   63  85.9108 116.9046   8821    21  7046  1775
   64  85.9987 116.8243   8791    30  7021  1770
   65  86.0021 116.7086   8796     5  7011  1785
   66  86.0019 116.7080   8760    36  7055  1705
   67  86.1445 116.8043   8754     6  7011  1743
   68  86.1442 116.8038   8774    20  7058  1716
   69  86.2007 116.5009   8733    41  7054  1679
   70  86.2107 116.6295   8685    48  7060  1625
   71  86.2241 116.5003   8750    65  7010  1740
   72  86.4954 116.2786   8898   148  7028  1870
   73  86.4746 116.3938   8907     9  7019  1888
   74  86.4731 116.6157   8843    64  7004  1839
   75  86.4963 116.2785   8960   117  6967  1993
   76  86.4989 116.2762   8959     1  6931  2028
   77  86.3929 116.2220   9021    62  6953  2068
   78  86.3925 116.2197   9088    67  6984  2104
   79  86.5006 116.2735   9114    26  7082  2032
   80  86.4994 116.2727   9112     2  7033  2079
   81  86.3940 116.2164   9155    43  7058  2097
   82  86.5007 116.0027   9221    66  7135  2086
   83  86.5016 116.0018   9279    58  7182  2097
   84  86.4997 115.8051   9225    54  7127  2098
   85  86.5008 116.0003   9212    13  7129  2083
   86  86.5011 115.9974   9151    61  7113  2038
   87  86.7197 115.8886   9132    19  7076  2056
   88  86.7628 115.7676   9208    76  7049  2159
   89  86.7621 115.7656   9210     2  7039  2171
   90  86.8644 115.5358   9233    23  7044  2189
   91  86.8644 115.5357   9286    53  7038  2248
   92  86.8658 115.5355   9376    90  7053  2323
   93  86.8662 115.5357   9393    17  7052  2341
   94  86.8686 115.5350   9396     3  7068  2328
   95  87.1523 115.5395   9430    34  7103  2327
   96  87.0006 115.5719   9510    80  7147  2363
   97  86.8688 115.5351   9587    77  7149  2438
   98  86.8681 115.5365   9653    66  7225  2428
   99  86.8673 115.5365   9670    17  7169  2501
  100  87.0008 115.5732   9642    28  7088  2554
  101  86.9996 115.5734   9683    41  7037  2646
  102  87.0009 115.5734   9731    48  7033  2698
  103  86.8483 115.5396   9761    30  6994  2767
  104  86.9997 115.7980   9738    23  6983  2755
  105  86.9998 115.7990   9738     0  6935  2803
  106  87.0903 115.6355   9781    43  6943  2838
