  120  370.0000 365.2004  14274     0  8953  5321
  121  369.7361 365.3326  14344    70  8982  5362
  122  369.7376 365.4733  14338     6  8996  5342
  123  369.9986 365.8609  14319    19  8822  5497
  124  369.9523 365.7123  14352    33  8831  5521
  125  369.9232 365.4208  14534   182  9094  5440
  126  369.9581 365.3185  14478    56  9126  5352
  127  369.8062 364.9997  14537    59  9172  5365
  128  369.5471 365.1922  14725   188  9276  5449
  129  369.3733 364.9393  14765    40  9237  5528
  130  369.1198 364.9381  14881   116  9270  5611
  131  369.0276 364.9999  14939    58  9249  5690
  132  369.1072 364.9718  14877    62  9271  5606
  133  369.1071 364.9718  14892    15  9330  5562
  134  369.0256 365.1747  14683   209  9311  5372
  135  369.0270 365.0905  14505   178  9126  5379
  136  368.8315 364.9990  14271   234  9059  5212
  137  368.6124 365.0300  14067   204  9009  5058
  138  368.5014 364.9987  13928   139  8931  4997
  139  368.5006 364.9999  13760   168  8921  4839
  140  368.2654 364.9672  13597   163  8928  4669
  141  367.6566 364.9286  13416   181  8852  4564
  142  367.2077 364.5012  13253   163  8958  4295
  143  366.0897 364.4347  13056   197  9100  3956
  144  365.9516 364.4525  12970    86  9127  3843
  145  365.0892 364.4318  12833   137  9088  3745
  146  364.6259 364.0001  12780    53  9068  3712
  147  364.4997 364.0012  12657   123  9018  3639
  148  364.2228 363.7804  12540   117  8953  3587
  149  363.8966 363.8957  12426   114  8938  3488
  150  363.7510 364.0004  12331    95  8838  3493
  151  363.7885 364.1051  12181   150  8801  3380
  152  363.5295 363.8837  12003   178  8798  3205
  153  363.3688 364.0530  11929    74  8743  3186
  154  363.0019 363.7915  11787   142  8742  3045
  155  363.0008 363.7905  11653   134  8666  2987
  156  362.9999 363.6696  11494   159  8591  2903
  157  362.9485 363.9006  11293   201  8500  2793
  158  362.6885 363.8759  11127   166  8450  2677
  159  362.5008 364.2841  10914   213  8420  2494
