  146  459.9095 337.3643  11457     0  8394  3063
  147  460.0840 337.3323  11507    50  8438  3069
  148  460.3991 337.3995  11554    47  8406  3148
  149  460.3562 337.2858  11559     5  8370  3189
  150  460.2307 337.2314  11530    29  8358  3172
  151  460.6145 336.8459  11599    69  8388  3211
  152  461.3335 336.1354  11625    26  8246  3379
  153  461.5303 336.3524  11625     0  8234  3391
  154  461.8889 336.3884  11664    39  8248  3416
  155  462.1924 335.8575  11704    40  8217  3487
  156  462.2651 336.4180  11730    26  8225  3505
  157  462.4758 336.3658  11746    16  8216  3530
  158  462.9033 335.6214  11597   149  8122  3475
  159  462.8747 335.7505  11676    79  8129  3547
  160  462.8442 335.9620  11749    73  8167  3582
  161  462.9200 335.8374  11819    70  8150  3669
  162  463.0008 335.4994  11908    89  8038  3870
  163  462.9998 335.4958  11912     4  8011  3901
  164  462.9373 335.2881  11967    55  8010  3957
  165  463.0715 335.0716  11988    21  8007  3981
  166  463.0023 334.9989  11962    26  7991  3971
  167  463.2593 334.7407  11908    54  7951  3957
  168  463.2148 334.5042  11894    14  7967  3927
  169  463.2764 334.4141  11685   209  8021  3664
  170  463.2779 334.4096  11653    32  8002  3651
  171  463.3086 334.2286  11565    88  8031  3534
  172  463.2829 334.1197  11495    70  8082  3413
  173  463.2758 333.9543  11362   133  8121  3241
  174  463.1933 333.8568  11352    10  8086  3266
  175  463.2132 333.9997  11306    46  8130  3176
  176  463.2780 333.8907  11190   116  8185  3005
  177  463.4641 334.1348  11185     5  8225  2960
  178  463.2296 334.1538  11163    22  8224  2939
  179  463.0917 334.3616  11017   146  8209  2808
