    0  438.8940 215.5820  13770     0 11322  2448
    1  439.2964 215.5017  13884   114 11302  2582
    2  439.2485 215.4581  14136   252 11246  2890
    3  439.4090 215.2116  14356   220 11277  3079
    4  439.4936 215.0069  14552   196 11208  3344
    5  439.3928 215.0659  14679   127 11240  3439
    6  439.6503 215.1731  14852   173 11298  3554
    7  439.6699 215.0896  15055   203 11226  3829
    8  439.6493 215.1705  15151    96 11149  4002
    9  439.6661 215.2475  15229    78 11043  4186
   10  439.6895 215.1697  15369   140 10924  4445
   11  439.6713 215.2470  15434    65 10850  4584
   12  439.7822 215.1112  15504    70 10737  4767
   13  439.9959 215.0793  15719   215 10661  5058
   14  439.8292 214.9256  15889   170 10587  5302
   15  440.2741 214.8762  16108   219 10530  5578
   16  440.1880 214.8342  16301   193 10433  5868
   17  440.1643 214.6555  16386    85 10370  6016
   18  440.1620 214.6561  16600   214 10290  6310
   19  440.2887 214.6489  16765   165 10257  6508
   20  440.3195 214.6829  16941   176 10202  6739
   21  440.2916 214.6299  17226   285 10174  7052
   22  439.9091 214.6024  17346   120 10101  7245
   23  439.7579 214.5264  17352     6 10101  7251
   24  439.6491 214.5263  17427    75 10129  7298
   25  439.5483 214.5521  17571   144 10020  7551
   26  439.1980 214.4731  17706   135 10365  7341
   27  439.1532 214.4250  17842   136 10363  7479
   28  439.1270 214.3647  17951   109 10309  7642
   29  439.0584 214.3316  18079   128 10310  7769
   30  439.0385 214.4018  18167    88 10294  7873
   31  438.8417 214.4035  18249    82 10327  7922
   32  438.9304 214.4144  18187    62 10382  7805
   33  438.7460 214.3839  18163    24 10413  7750
   34  438.7951 214.3384  18179    16 10461  7718
   35  438.8801 214.3333  18057   122 10470  7587
   36  438.8008 214.3759  17926   131 10519  7407
   37  438.7656 214.3200  17956    30 10572  7384
   38  438.6875 214.2853  17993    37 10672  7321
   39  438.5989 214.2337  17951    42 10678  7273
   40  438.5998 214.2313  17893    58 10677  7216
   41  438.5766 214.1763  17964    71 10659  7305
   42  438.5753 214.1762  17890    74 10645  7245
   43  438.8449 214.1564  17801    89 10671  7130
   44  438.9068 214.0585  17732    69 10618  7114
   45  438.7427 214.0204  17620   112 10577  7043
   46  438.8726 214.0996  17567    53 10519  7048
   47  438.8713 214.0994  17477    90 10524  6953
   48  438.8753 214.1020  17378    99 10544  6834
   49  438.8748 214.1057  17296    82 10540  6756
   50  438.8737 214.1066  17171   125 10547  6624
   51  438.7929 214.0866  17026   145 10570  6456
   52  438.7835 214.0663  16887   139 10582  6305
   53  438.7466 214.0043  16710   177 10490  6220
   54  438.8261 214.0266  16669    41 10459  6210
   55  438.7351 214.0249  16581    88 10448  6133
   56  438.6665 213.9777  16452   129 10432  6020
   57  438.7472 213.9526  16353    99 10468  5885
   58  438.8779 213.8841  16293    60 10486  5807
   59  438.9179 213.8086  16092   201 10408  5684
   60  438.8529 213.7622  15917   175 10365  5552
   61  438.8449 213.6853  15695   222 10317  5378
   62  438.7402 213.5708  15469   226 10269  5200
   63  438.7374 213.5698  15386    83 10242  5144
   64  438.7894 213.5071  15237   149 10235  5002
   65  438.8173 213.4218  15293    56 10219  5074
   66  438.7422 213.4312  15156   137 10229  4927
   67  438.7674 213.3539  15129    27 10245  4884
   68  438.7865 213.1693  15103    26 10212  4891
   69  438.7891 213.1718  14978   125 10215  4763
   70  438.7917 213.1695  14826   152 10227  4599
   71  438.9478 213.1680  14711   115 10233  4478
   72  438.9989 213.2388  14688    23 10210  4478
   73  438.9217 213.2723  14510   178 10262  4248
   74  438.8681 213.2011  14416    94 10316  4100
   75  438.8664 213.2018  14460    44 10425  4035
   76  438.9212 213.3665  14503    43 10450  4053
   77  438.7805 213.1820  14405    98 10524  3881
   78  438.7916 213.1685  14394    11 10597  3797
   79  438.7074 213.1430  14312    82 10626  3686
   80  438.6183 213.1452  14218    94 10694  3524
   81  438.6180 213.1410  14105   113 10759  3346
   82  438.8275 213.0033  14033    72 10735  3298
   83  438.7366 213.0034  14006    27 10621  3385
   84  438.8279 213.0018  13959    47 10518  3441
   85  438.7943 212.9159  13926    33 10550  3376
   86  438.7952 212.9134  13763   163 10591  3172
   87  438.8812 212.9422  13726    37 10670  3056
   88  439.0535 212.9474  13563   163 10626  2937
   89  439.1203 212.9433  13364   199 10572  2792
   90  439.3257 212.8084  13150   214 10606  2544
   91  439.2893 213.2188  13031   119 10565  2466
   92  439.2881 213.2200  12899   132 10505  2394
   93  439.1764 213.2120  12887    12 10484  2403
   94  439.1971 213.1029  12839    48 10482  2357
   95  439.3148 213.0040  12784    55 10493  2291
   96  439.2047 213.0041  12775     9 10500  2275
   97  439.1084 213.0394  12733    42 10446  2287
   98  439.1068 213.0386  12666    67 10449  2217
   99  439.2859 213.0040  12563   103 10458  2105
  100  439.2865 213.0034  12466    97 10403  2063
  101  439.2148 213.0865  12368    98 10425  1943
  102  439.0903 213.0920  12260   108 10504  1756
  103  439.0918 213.0924  12182    78 10549  1633
  104  439.0917 213.0924  12146    36 10550  1596
  105  439.0047 213.0023  12103    43 10576  1527
  106  439.0060 213.0037  12070    33 10482  1588
  107  439.1152 212.9482  11973    97 10452  1521
  108  439.3338 213.0000  11948    25 10452  1496
  109  439.1225 212.5933  11983    35 10475  1508
  110  439.3975 212.6035  11926    57 10508  1418
  111  439.3994 212.6036  11985    59 10487  1498
  112  439.4989 212.5011  12004    19 10557  1447
  113  439.4020 212.6015  12058    54 10646  1412
  114  439.5001 212.5028  11975    83 10382  1593
  115  439.5008 212.5024  11978     3 10417  1561
  116  439.6146 212.6156  11995    17 10410  1585
  117  439.6171 212.6144  11997     2 10397  1600
  118  439.5029 212.4996  12255   258 10488  1767
  119  439.6171 212.6138  11990   265 10506  1484
  120  439.7162 212.5005  12144   154 10530  1614
  121  439.6182 212.6154  12135     9 10432  1703
  122  439.7519 212.5843  12194    59 10359  1835
  123  439.7523 212.5829  12352   158 10390  1962
  124  439.8473 212.4625  12649   297 10334  2315
  125  439.9996 212.5005  12509   140 10401  2108
