   48  54.0715 13.7133   8060     0  5854  2206
   49  54.0571 13.7631   8136    76  5877  2259
   50  54.0485 13.7450   8234    98  5855  2379
   51  54.0784 13.5985   8368   134  5829  2539
   52  54.3771 13.6129   8449    81  5835  2614
   53  54.2928 13.6651   8471    22  5836  2635
   54  54.3622 13.6340   8579   108  5829  2750
   55  54.4480 13.7089   8658    79  5816  2842
   56  54.4977 13.6353   8717    59  5815  2902
   57  54.6954 13.8976   8834   117  5838  2996
   58  54.7515 13.9962   8822    12  5836  2986
   59  54.5943 14.1141   8802    20  5866  2936
   60  54.8456 14.2906   8789    13  5869  2920
   61  54.9932 14.3150   8824    35  5910  2914
   62  54.5145 13.9093   8853    29  5964  2889
   63  54.3687 13.8721   8679   174  5982  2697
   64  54.3703 13.8727   8719    40  5987  2732
   65  54.3677 13.8700   8766    47  5995  2771
   66  54.0356 13.8328   8824    58  6023  2801
   67  53.9234 13.8453   8862    38  6030  2832
   68  53.7051 13.6207   8842    20  6048  2794
   69  53.5422 13.4975   8768    74  6100  2668
   70  53.4769 13.3904   8590   178  6084  2506
   71  53.4768 13.3910   8603    13  6104  2499
   72  53.4151 13.2935   8593    10  6165  2428
   73  53.5573 13.5964   8827   234  6130  2697
   74  53.6956 13.4674   8785    42  6184  2601
   75  53.6957 13.4638   8816    31  6194  2622
   76  53.9592 13.5734   8933   117  6215  2718
   77  53.6098 13.5142   8963    30  6260  2703
   78  53.6086 13.5170   8934    29  6274  2660
   79  53.4987 13.5012   8812   122  6265  2547
   80  53.4455 13.7376   8726    86  6274  2452
   81  53.5589 13.7945   8743    17  6304  2439
   82  53.5192 13.6080   8642   101  6332  2310
   83  53.0017 13.5013   8467   175  6314  2153
   84  52.9979 13.5006   8402    65  6316  2086
   85  52.9974 13.4998   8338    64  6388  1950
   86  52.6672 13.2501   8292    46  6426  1866
   87  52.7985 13.0009   8228    64  6454  1774
   88  52.6366 13.0911   8189    39  6480  1709
   89  52.4985 12.9999   8109    80  6514  1595
   90  52.3632 12.9091   8049    60  6585  1464
