  108  416.5010 207.1905  13676     0  9550  4126
  109  416.4714 207.0031  13826   150  9461  4365
  110  416.4706 207.0025  13855    29  9537  4318
  111  416.4757 206.5290  14035   180  9541  4494
  112  416.4011 206.2873  14281   246  9659  4622
  113  416.4855 206.0124  14303    22  9586  4717
  114  416.4857 206.4630  14348    45  9592  4756
  115  416.5019 206.5912  14161   187  9545  4616
  116  416.5598 206.4426  14270   109  9611  4659
  117  416.5738 206.5431  14104   166  9573  4531
  118  416.5029 206.2985  14309   205  9647  4662
  119  416.4610 206.4035  14521   212  9560  4961
  120  416.4860 206.1102  14640   119  9535  5105
  121  416.5007 206.0074  14738    98  9618  5120
  122  416.5005 206.0084  14744     6  9583  5161
  123  416.5013 206.0112  14758    14  9598  5160
  124  416.4388 206.0849  14750     8  9508  5242
  125  416.4260 206.1843  14692    58  9543  5149
  126  416.4819 206.4073  14683     9  9548  5135
  127  416.4855 206.4087  14636    47  9531  5105
  128  416.4851 206.4094  14587    49  9578  5009
  129  416.4864 206.4122  14469   118  9548  4921
  130  416.4883 206.4124  14511    42  9593  4918
  131  416.6740 206.3881  14622   111  9665  4957
  132  416.6769 206.3885  14583    39  9730  4853
  133  416.6992 206.4785  14536    47  9744  4792
  134  416.9411 206.1297  14434   102  9714  4720
  135  416.7115 206.2701  14329   105  9627  4702
  136  416.7101 206.2713  14293    36  9625  4668
  137  416.8967 206.5161  13973   320  9636  4337
  138  417.0330 206.2706  14131   158  9763  4368
  139  417.0339 206.3830  14133     2  9793  4340
  140  416.9629 206.7498  14015   118  9721  4294
  141  416.9609 206.8980  14101    86  9781  4320
  142  416.8943 206.8352  14140    39  9757  4383
  143  416.9205 207.3121  14203    63  9812  4391
  144  416.9961 207.6300  14057   146  9770  4287
  145  416.9979 207.6348  14220   163  9832  4388
  146  416.9228 208.0403  14266    46  9799  4467
  147  417.0001 208.3492  14273     7  9881  4392
  148  417.0832 208.4190  14362    89  9962  4400
  149  417.0774 208.4279  14532   170  9909  4623
  150  417.1493 208.7800  14274   258  9872  4402
  151  417.3075 209.0441  14214    60  9908  4306
  152  417.3465 209.3861  14293    79  9904  4389
  153  417.3454 209.6553  13950   343  9800  4150
  154  417.4064 209.7425  14071   121  9799  4272
  155  417.4062 209.7464  14030    41  9796  4234
  156  417.4974 210.0016  13992    38  9812  4180
  157  417.4992 210.0026  13970    22  9820  4150
  158  417.4799 210.1134  14065    95  9789  4276
  159  417.4805 210.1150  14102    37  9800  4302
  160  417.6360 210.2406  14177    75  9924  4253
  161  417.7285 210.1559  14187    10  9943  4244
  162  417.7587 210.0453  14063   124  9881  4182
  163  417.8060 210.0527  13953   110  9861  4092
  164  417.8469 210.1539  13825   128  9754  4071
  165  417.9482 210.1942  13723   102  9713  4010
  166  417.7876 210.2666  13551   172  9739  3812
  167  417.8787 210.4713  13436   115  9702  3734
  168  417.7487 210.5618  13002   434  9715  3287
  169  417.6163 210.3851  13019    17  9534  3485
