  146  23.7992 204.9998   9613     0  6752  2861
  147  23.6937 205.0748   9756   143  6767  2989
  148  23.8414 204.8422   9796    40  6793  3003
  149  23.9974 204.9951   9942   146  6809  3133
  150  23.9088 205.0839  10056   114  6807  3249
  151  23.9084 205.0880  10085    29  6787  3298
  152  23.7999 205.4358  10149    64  6796  3353
  153  23.5984 205.5158  10454   305  6564  3890
  154  23.8003 205.4371  10325   129  6805  3520
  155  23.5030 205.6041  10538   213  6589  3949
  156  23.4334 205.8333  10672   134  6582  4090
  157  23.4337 205.8331  10687    15  6619  4068
  158  23.0925 205.9991  10690     3  6636  4054
  159  23.0029 206.0860  10752    62  6633  4119
  160  22.9443 206.2694  10663    89  6597  4066
  161  22.8907 206.3701  10614    49  6538  4076
  162  22.9738 206.4210  10491   123  6553  3938
  163  22.9444 206.5857  10582    91  6355  4227
  164  23.1590 206.5558  10636    54  6365  4271
  165  22.9487 206.7350  10653    17  6350  4303
  166  22.8580 206.8190  10526   127  6347  4179
  167  22.7207 206.8846  10428    98  6319  4109
  168  22.7127 206.9656  10342    86  6319  4023
  169  22.2997 207.0878  10338     4  6282  4056
  170  21.2477 207.9182  10285    53  6150  4135
  171  21.0054 207.9976  10158   127  6147  4011
  172  21.0051 207.9976  10029   129  6157  3872
  173  21.0048 207.9982  10009    20  6142  3867
  174  21.1137 208.1102   9861   148  6124  3737
  175  20.9300 208.1104   9721   140  6120  3601
  176  21.2088 208.1248   9533   188  6096  3437
  177  21.0467 208.3171   9357   176  6108  3249
  178  20.5016 208.4995   9293    64  6084  3209
  179  20.5023 208.4988   9112   181  6076  3036
  180  20.5000 208.5003   8929   183  6007  2922
  181  20.2239 208.5549   8751   178  5948  2803
  182  20.2220 208.5572   8632   119  5971  2661
  183  20.3652 208.9081   8446   186  5959  2487
