  145  269.0842 143.1668  13909     0  8465  5444
  146  269.2618 143.3667  13982    73  8455  5527
  147  268.9585 143.2898  14176   194  8444  5732
  148  268.9209 143.4003  14192    16  8423  5769
  149  269.0748 143.5966  14099    93  8420  5679
  150  269.1101 144.0378  14042    57  8376  5666
  151  269.1720 144.1400  14071    29  8305  5766
  152  268.9052 144.1629  14100    29  8229  5871
  153  268.8340 144.0672  14229   129  8146  6083
  154  268.9050 144.1639  14246    17  8127  6119
  155  268.8149 144.1298  14339    93  8161  6178
  156  268.6517 144.0646  14380    41  8090  6290
  157  268.6612 144.1738  14474    94  8099  6375
  158  268.6598 144.1717  14411    63  8107  6304
  159  268.5294 143.8723  14489    78  8150  6339
  160  268.5287 143.8758  14418    71  8075  6343
  161  268.5009 143.7182  14433    15  8075  6358
  162  268.4887 143.6008  14488    55  8184  6304
  163  268.5012 143.5064  14319   169  8015  6304
  164  268.4985 143.5023  14378    59  8199  6179
  165  268.5286 143.6967  14133   245  8058  6075
  166  268.5790 143.9694  13938   195  8087  5851
  167  268.7447 144.0355  13757   181  8139  5618
  168  268.7444 144.0316  13648   109  8197  5451
  169  268.6804 143.9375  13571    77  8251  5320
  170  268.6461 143.8096  13478    93  8312  5166
  171  268.4824 143.7076  13557    79  8438  5119
  172  268.2112 143.6683  13492    65  8432  5060
  173  268.2539 143.8508  13403    89  8427  4976
  174  268.4996 143.9992  13261   142  8397  4864
  175  268.3830 143.5384  13266     5  8432  4834
  176  268.3001 143.4997  13293    27  8422  4871
