  143  406.3821 250.3834  13815     0  9814  4001
  144  406.0563 250.3338  13960   145  9759  4201
  145  406.1106 250.1127  14045    85  9796  4249
  146  405.8589 250.1434  14245   200  9802  4443
  147  405.9987 250.0011  14241     4  9767  4474
  148  405.9998 249.9989  14410   169  9784  4626
  149  405.7651 249.9612  14445    35  9817  4628
  150  405.7647 249.9603  14490    45  9736  4754
  151  405.8471 249.8840  14537    47  9738  4799
  152  405.6033 249.9607  14573    36  9657  4916
  153  405.6009 249.9607  14652    79  9660  4992
  154  405.6017 249.9622  14750    98  9668  5082
  155  405.6034 249.9635  14817    67  9627  5190
  156  405.6019 249.9618  14859    42  9641  5218
  157  405.6006 249.9611  14901    42  9629  5272
  158  405.5010 250.0008  14976    75  9683  5293
  159  405.3473 249.7841  15135   159  9870  5265
  160  405.2491 249.8312  15136     1  9914  5222
  161  405.2780 249.6015  15190    54  9875  5315
  162  405.2952 249.7760  15171    19  9947  5224
  163  405.2756 249.5870  15294   123  9987  5307
  164  405.2609 249.4104  15283    11  9847  5436
  165  405.3446 249.3486  15204    79  9830  5374
  166  405.1114 249.4816  15288    84  9888  5400
  167  405.0412 249.4012  15212    76  9871  5341
  168  405.0390 249.4000  15230    18  9891  5339
  169  404.9083 249.0954  15117   113  9959  5158
  170  404.8752 249.1676  15083    34  9996  5087
  171  405.0011 249.0030  14974   109  9997  4977
  172  405.0523 249.0998  14740   234  9977  4763
  173  405.2861 249.1416  14602   138 10072  4530
  174  405.4986 249.0007  14617    15 10139  4478
  175  405.4999 249.0001  14491   126 10148  4343
