    0  189.0222 206.5820  13062     0  8771  4291
    1  189.0271 206.5815  13104    42  8820  4284
    2  189.0304 206.5761  13238   134  8871  4367
    3  189.0733 206.4484  13159    79  9066  4093
    4  189.0719 206.4475  13177    18  9144  4033
    5  189.0984 206.5214  13272    95  9073  4199
    6  189.0999 206.5209  13324    52  9053  4271
    7  189.1841 206.5062  13363    39  9099  4264
    8  189.2249 206.4318  13250   113  9388  3862
    9  189.2024 206.3601  13285    35  9411  3874
   10  189.2673 206.3840  13092   193  9385  3707
   11  189.3656 206.4237  13109    17  9364  3745
   12  189.2606 206.3604  13106     3  9375  3731
   13  189.3375 206.3526  13154    48  9346  3808
   14  189.3874 206.2622  13145     9  9291  3854
   15  189.3697 206.2722  13196    51  9293  3903
   16  189.3719 206.2709  13185    11  9279  3906
   17  189.4348 206.1622  13275    90  9267  4008
   18  189.4376 206.1587  13264    11  9230  4034
   19  189.4367 206.1610  13227    37  9202  4025
   20  189.4383 206.1601  13252    25  9169  4083
   21  189.5129 206.1756  13109   143  9155  3954
   22  189.5253 206.0905  13099    10  9213  3886
   23  189.4511 206.0684  13224   125  9251  3973
   24  189.5267 206.0882  13177    47  9240  3937
   25  189.7481 206.0029  13171     6  9215  3956
   26  189.8025 205.9285  13222    51  9162  4060
   27  189.8765 205.8809  13227     5  9271  3956
   28  189.8762 205.8789  13152    75  9264  3888
   29  189.8823 205.8765  13173    21  9236  3937
   30  189.8852 205.8715  13162    11  9239  3923
   31  189.8603 205.8016  13187    25  9174  4013
   32  189.8667 205.7976  13201    14  9150  4051
   33  189.9365 205.7975  13130    71  9119  4011
   34  189.9853 205.6706  13111    19  9083  4028
   35  190.0631 205.7048  13093    18  8978  4115
   36  190.1592 205.6869  13028    65  8892  4136
   37  190.2777 205.6156  12894   134  8786  4108
   38  190.3345 205.4753  12776   118  8817  3959
   39  190.3528 205.4734  12693    83  8752  3941
   40  190.3992 205.6148  12792    99  8638  4154
   41  190.3712 205.6938  12777    15  8558  4219
   42  190.3717 205.6930  12881   104  8459  4422
   43  190.3674 205.3200  12807    74  8447  4360
   44  190.5255 205.2490  12754    53  8389  4365
   45  190.5302 205.2434  12800    46  8351  4449
   46  190.7301 205.1536  12876    76  8323  4553
   47  190.7956 205.0828  12825    51  8267  4558
   48  190.7981 205.0826  12858    33  8215  4643
   49  190.8042 205.0760  12868    10  8204  4664
   50  190.8752 205.1200  12812    56  8216  4596
   51  190.8784 205.1188  12897    85  8212  4685
   52  190.8801 205.1181  12898     1  8191  4707
   53  190.8815 205.1172  12778   120  8144  4634
   54  190.8832 205.1173  12689    89  8076  4613
   55  191.0056 204.9981  12525   164  8028  4497
   56  191.0304 205.1208  12546    21  8015  4531
   57  191.0324 205.1204  12519    27  7995  4524
   58  191.0107 205.0014  12432    87  8019  4413
   59  190.9605 205.0775  12378    54  7900  4478
   60  191.0860 205.0550  12395    17  7784  4611
   61  191.1588 205.0075  12327    68  7764  4563
   62  191.1632 205.2071  12275    52  7719  4556
   63  191.2487 205.2382  12255    20  7712  4543
   64  191.2511 205.2408  12150   105  7675  4475
   65  191.3401 205.2189  12081    69  7632  4449
   66  191.4307 205.2224  11972   109  7635  4337
   67  191.4131 205.3126  11883    89  7619  4264
   68  191.4819 205.0945  11844    39  7622  4222
   69  191.4811 205.0926  11845     1  7659  4186
   70  191.4817 205.0994  11747    98  7641  4106
   71  191.4817 205.0981  11669    78  7702  3967
   72  191.4833 204.8872  11587    82  7718  3869
   73  191.4827 204.8852  11609    22  7814  3795
   74  191.6379 204.7598  11486   123  7841  3645
   75  191.8994 204.9029  11340   146  7844  3496
   76  191.6970 204.8974  11212   128  7845  3367
   77  191.5034 204.9960  11124    88  7834  3290
   78  191.5002 204.7155  10995   129  7897  3098
   79  191.7977 204.9993  10965    30  7959  3006
